"Timestamp","GENDER","AGE RANGE","FACULTY","LEVEL","How often do you exercise ","Knowledge and awareness on psychological benefits of exercise [Engaging in regular exercise enhances my ability to concentrate and focus]","Knowledge and awareness on psychological benefits of exercise [Engaging in regular exercise can be an effective way to manage symptoms of depression]","Knowledge and awareness on psychological benefits of exercise [Exercise is an effective way to boost self esteem and confidence]","Exercise Frequency  [I am proud of the amount of exercise I do]","Exercise Frequency  [I feel more confident and self assured when I engage in regular physical activity]","Exercise Frequency  [I believe that maintaining a consistent exercise frequency is essential for my psychological wellbeing]","Exercise duration [Engaging in exercise sessions lasting less than 10 minutes positively affects my psychological wellbeing]","Exercise duration [I feel more psychologically refreshed after exercising for 30 minutes or longer]","Exercise duration [The longer I exercise (over 60 minutes), the more beneficial it is for my overall psychological wellbeing]","Exercise Intensity  [I feel more relaxed after engaging in high-intensity exercise]","Exercise Intensity  [High intensity exercise contributes to better sleep quality for me]","Exercise Intensity  [I find that vigorous exercise boosts my overall sense of well-being]","Stress [Regular exercise helps me manage and reduce my stress levels]","Stress [Exercise helps to reduce the tension in me]","Stress [Exercise is an effective way for me to relax and unwind]","Stress [I personally feel that exercise is the best thing for me]","Mood [I experience an improved mood after engaging in exercise]","Mood [I feel happier and more relaxed after engaging in regular exercise]","Mood [I experience an increase in energy and motivation through regular exercise]"
"2023/09/23 9:08:07 am CET","Male","21-25","Education","100","Once or twice a month","More True","True","More True","True","More True","More True","False","True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/23 9:08:46 am CET","Male","21-25","Education","200","Once a week","More True","True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/23 9:09:17 am CET","Male","21-25","Education","300","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/23 9:09:50 am CET","Male","21-25","Education","400","Hardly ever","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/23 9:12:19 am CET","Male","21-25","Education","100","Several times a week","More True","True","More True","More True","More True","True","True","True","True","True","True","True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/23 9:13:05 am CET","Male","21-25","Education","200","Hardly ever","True","True","True","False","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/23 9:15:44 am CET","Male","21-25","Education","300","Once or twice a month","More True","More True","More True","True","More True","More True","True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/23 9:16:43 am CET","Male","21-25","Education","400","Hardly ever","True","True","True","False","True","True","True","True","True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/23 9:17:24 am CET","Male","21-25","Education","100","Once or twice a month","More True","More True","More True","More False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/23 9:19:12 am CET","Male","21-25","Education","200","Several times a week","More True","More True","More True","More True","More True","More True","False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/24 6:27:50 am CET","Female","21-25","Education","100","Once or twice a month","More True","More True","More True","True","More True","True","True","True","True","True","More True","More True","More True","More True","More True","True","More True","More True","More True"
"2023/09/24 6:28:58 am CET","Female","16-20","Education","200","Once or twice a month","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/24 6:35:21 am CET","Female","21-25","Education","300","Once a week","More True","True","More True","More True","More True","More True","More True","More True","More True","True","True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/24 6:47:20 am CET","Female","21-25","Education","400","Hardly ever","True","True","True","More False","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/24 6:48:08 am CET","Female","16-20","Education","100","Hardly ever","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/24 6:53:16 am CET","Female","21-25","Education","200","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/24 6:53:55 am CET","Female","21-25","Education","300","Once or twice a month","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True"
"2023/09/24 6:54:37 am CET","Female","21-25","Education","400","Once or twice a month","More True","True","True","True","True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/24 6:56:11 am CET","Female","21-25","Education","100","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/24 6:56:39 am CET","Female","21-25","Education","200","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/24 3:57:32 pm CET","Male","26-30","Education","300","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/24 3:58:21 pm CET","Male","21-25","Education","200","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/24 4:01:50 pm CET","Female","26-30","Education","400","Hardly ever","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True"
"2023/09/24 4:02:48 pm CET","Male","16-20","Education","200","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/24 4:04:04 pm CET","Male","21-25","Education","400","Several times a week","More True","True","More True","More True","More True","True","False","True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/24 4:07:50 pm CET","Male","21-25","Education","300","Once or twice a month","True","True","True","True","True","More True","False","True","More True","More True","True","More True","True","More True","More True","More True","More True","More True","More True"
"2023/09/24 4:12:27 pm CET","Female","26-30","Education","400","Hardly ever","True","More True","True","More False","True","True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/24 4:17:03 pm CET","Male","26-30","Education","400","Once or twice a month","More True","True","More True","True","More True","False","False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/24 4:26:15 pm CET","Male","21-25","Education","100","Once or twice a month","More True","More True","More True","More True","More True","More True","True","More True","More True","More True","True","More True","More True","More True","True","True","More True","True","True"
"2023/09/24 4:27:37 pm CET","Female","16-20","Education","100","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/24 4:30:42 pm CET","Female","21-25","Education","200","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/24 5:01:48 pm CET","Male","21-25","Education","200","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/24 5:03:25 pm CET","Female","21-25","Education","200","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/24 5:04:59 pm CET","Male","16-20","Education","100","Hardly ever","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True"
"2023/09/24 5:06:39 pm CET","Female","21-25","Education","300","Once or twice a month","More True","True","More True","False","More True","True","False","More True","True","More True","True","More True","True","More True","True","More True","More True","True","More True"
"2023/09/24 5:07:20 pm CET","Male","21-25","Education","400","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/24 5:08:04 pm CET","Male","21-25","Education","400","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/24 7:08:58 pm CET","Male","21-25","Engineering","300","Once a week","True","More True","True","True","True","More True","More True","True","More True","True","True","True","More True","True","More True","True","True","More True","True"
"2023/09/24 7:10:18 pm CET","Female","16-20","Management Science","200","Once or twice a month","True","True","True","True","True","True","True","True","True","True","True","True","True","True","More True","More True","More True","True","True"
"2023/09/24 7:11:53 pm CET","Male","26-30","Education","200","Once a week","More True","True","True","True","True","True","False","True","False","More True","True","True","True","True","True","More False","False","True","True"
"2023/09/24 7:12:43 pm CET","Male","26-30","Education","400","Once or twice a month","True","False","True","True","True","True","True","False","True","True","True","True","True","True","False","True","True","More False","True"
"2023/09/24 8:59:46 pm CET","Male","16-20","Education","200","Once or twice a month","More True","More False","More True","More False","True","More False","More True","More True","More False","More True","More False","More True","True","More True","True","More True","More True","True","More True"
"2023/09/24 9:00:36 pm CET","Female","21-25","Education","300","Once a week","More True","True","More True","More True","More False","True","True","True","More True","More True","True","True","More True","More True","True","More True","More True","True","More True"
"2023/09/24 9:01:20 pm CET","Male","21-25","Education","100","Once or twice a month","More True","True","More True","More True","More True","True","More True","True","True","More True","True","More True","True","True","More True","More True","More True","True","More True"
"2023/09/24 9:02:07 pm CET","Female","16-20","Education","200","Once a week","More True","True","True","More True","True","More True","More True","More True","True","True","More True","More True","More True","True","More True","More True","More True","True","More True"
"2023/09/24 9:02:49 pm CET","Female","21-25","Education","400","Several times a week","True","More True","More True","True","More True","More True","True","True","More True","True","More True","True","More True","True","More True","More True","True","True","More True"
"2023/09/25 6:41:48 am CET","Male","21-25","Education","100","Hardly ever","More True","More True","More True","True","More True","More True","More True","True","More True","More True","True","More True","More True","True","More True","True","More True","True","More True"
"2023/09/25 6:42:25 am CET","Male","21-25","Education","400","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 6:46:27 am CET","Female","26-30","Education","400","Hardly ever","False","More True","More True","False","More True","False","More True","True","False","False","False","False","False","False","False","False","True","True","True"
"2023/09/25 6:47:03 am CET","Female","21-25","Education","100","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 6:55:27 am CET","Male","21-25","Education","300","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 7:02:03 am CET","Male","21-25","Education","300","Once or twice a month","More True","More True","More True","More True","More True","More True","False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 7:04:46 am CET","Male","21-25","Education","200","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 7:08:24 am CET","Male","21-25","Education","200","Several times a week","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/25 7:32:56 am CET","Female","21-25","Education","200","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 7:35:06 am CET","Male","26-30","Education","200","Once or twice a month","More True","More True","More True","More True","More True","More True","False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 7:37:49 am CET","Male","26-30","Education","300","Once or twice a month","More True","More True","More True","More True","More True","More True","False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 7:38:25 am CET","Female","21-25","Education","200","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 7:43:24 am CET","Male","21-25","Education","100","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 8:14:35 am CET","Male","21-25","Education","200","Several times a week","More True","More True","More True","More True","More True","More True","More False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 8:15:04 am CET","Female","16-20","Education","100","Hardly ever","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 8:15:42 am CET","Male","21-25","Education","300","Once or twice a month","More True","True","More False","False","More False","True","More True","True","More False","False","More False","True","More True","True","More False","False","More False","True","More True"
"2023/09/25 8:16:13 am CET","Male","26-30","Education","300","Once a week","More True","True","More False","False","More False","True","More True","True","More False","False","More False","True","More True","True","More False","False","More False","True","More True"
"2023/09/25 8:16:47 am CET","Female","21-25","Education","400","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 8:17:33 am CET","Male","21-25","Education","300","Hardly ever","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 8:18:05 am CET","Male","26-30","Education","100","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 8:19:05 am CET","Female","21-25","Education","200","Once or twice a month","More True","True","More True","True","More True","True","More True","True","More True","More True","True","More True","True","More True","True","More True","More True","True","More True"
"2023/09/25 8:19:37 am CET","Female","30 years and above","Education","400","Hardly ever","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/25 8:20:06 am CET","Female","30 years and above","Education","400","Hardly ever","More True","True","More True","True","More True","More True","True","True","More True","More True","True","More True","More True","True","More True","More True","More True","More True","More True"
"2023/09/25 8:20:34 am CET","Male","21-25","Education","100","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 10:36:44 am CET","Male","21-25","Education","300","Once a week","More True","True","More True","More True","True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 10:37:15 am CET","Male","21-25","Education","100","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 10:37:44 am CET","Male","21-25","Education","400","Once a week","More True","More True","More True","True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 10:38:32 am CET","Male","21-25","Education","100","Once or twice a month","More True","More True","More True","True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 10:39:01 am CET","Male","21-25","Education","100","Once or twice a month","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True"
"2023/09/25 10:39:36 am CET","Female","16-20","Education","100","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 10:41:09 am CET","Female","30 years and above","Education","300","Hardly ever","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 10:41:44 am CET","Female","21-25","Education","200","Once or twice a month","More True","True","More True","True","True","More True","True","True","More True","True","True","More True","More True","True","More True","More True","More True","True","More True"
"2023/09/25 10:42:18 am CET","Female","21-25","Education","300","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 10:42:52 am CET","Female","21-25","Education","300","Once or twice a month","More True","More True","More True","False","More True","True","False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 10:44:34 am CET","Male","21-25","Education","200","Once or twice a month","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 10:45:16 am CET","Female","21-25","Education","300","Once or twice a month","More True","More True","More True","More True","More True","More True","False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 10:46:54 am CET","Male","21-25","Education","200","Once or twice a month","More True","True","More True","True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 10:48:27 am CET","Male","26-30","Education","400","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 12:48:06 pm CET","Male","21-25","Education","200","Once or twice a month","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/25 12:49:22 pm CET","Female","21-25","Education","200","Once or twice a month","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/25 12:50:11 pm CET","Female","21-25","Education","200","Once or twice a month","False","True","True","False","True","False","True","True","False","True","False","More True","More True","True","False","True","More True","True","More True"
"2023/09/25 12:50:50 pm CET","Male","21-25","Education","200","Once a week","More True","True","More True","True","True","More True","True","More True","True","More True","True","More True","True","More True","True","True","More True","True","More True"
"2023/09/25 12:51:33 pm CET","Female","21-25","Education","200","Once or twice a month","True","More True","True","More True","True","More True","True","False","True","More True","True","More True","More True","True","True","More True","True","More True","True"
"2023/09/25 2:43:56 pm CET","Male","21-25","Education","300","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 2:44:33 pm CET","Female","26-30","Education","400","Once or twice a month","More True","True","More True","More True","True","More True","More True","True","More True","More True","True","More True","More True","True","More True","True","More True","True","More True"
"2023/09/25 2:46:02 pm CET","Male","21-25","Education","300","Once or twice a month","More True","More True","More True","False","More True","More True","More False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 2:47:35 pm CET","Male","16-20","Education","200","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 2:48:03 pm CET","Male","21-25","Education","200","Once or twice a month","More True","True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 2:49:03 pm CET","Male","21-25","Education","200","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 2:49:46 pm CET","Male","26-30","Education","400","Hardly ever","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 2:52:23 pm CET","Male","21-25","Education","200","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 2:55:33 pm CET","Male","21-25","Education","100","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 2:57:41 pm CET","Male","21-25","Education","200","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 6:41:26 am CET","Female","21-25","Education","100","Once or twice a month","More True","More True","More True","More True","More True","More True","False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 6:41:57 am CET","Female","21-25","Education","300","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 6:43:41 am CET","Female","21-25","Education","400","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 6:47:04 am CET","Male","21-25","Education","200","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 6:48:14 am CET","Male","26-30","Education","400","Hardly ever","More True","More True","More True","More True","More True","More True","More False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 6:49:28 am CET","Male","21-25","Education","200","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 6:53:40 am CET","Male","16-20","Education","100","Hardly ever","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 6:54:08 am CET","Female","21-25","Education","300","Several times a week","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/26 6:54:59 am CET","Male","21-25","Education","200","Several times a week","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True"
"2023/09/26 7:06:44 am CET","Male","21-25","Education","300","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:10:31 am CET","Male","21-25","Education","100","Several times a week","More True","True","More True","More True","True","More True","True","More True","True","True","More True","True","More True","True","More True","True","More True","True","More True"
"2023/09/26 9:11:21 am CET","Female","26-30","Education","400","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:11:48 am CET","Female","21-25","Education","200","Once a week","More True","More True","More True","More True","More True","More True","More False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:12:18 am CET","Female","21-25","Education","200","Several times a week","More True","More True","More True","More True","More True","More True","False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:14:31 am CET","Female","26-30","Education","300","Once or twice a month","More True","More True","More True","More True","More True","More True","More False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:15:02 am CET","Female","21-25","Education","200","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:15:31 am CET","Female","21-25","Education","300","Hardly ever","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/26 9:16:08 am CET","Male","21-25","Education","300","Once or twice a month","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","True","More True","True","True"
"2023/09/26 9:16:42 am CET","Male","21-25","Education","300","Several times a week","More True","True","More True","More True","More True","True","More True","More True","True","More True","True","More True","More True","True","True","More True","More True","True","More True"
"2023/09/26 9:17:11 am CET","Female","30 years and above","Education","400","Once or twice a month","More True","True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:17:41 am CET","Female","21-25","Education","300","Once or twice a month","More True","True","True","True","True","More True","True","True","True","More True","True","More True","More True","True","True","More True","More True","True","More True"
"2023/09/26 9:18:11 am CET","Female","21-25","Education","200","Hardly ever","More True","True","More True","True","More True","True","More True","True","More True","More True","True","More True","More True","True","More True","True","More True","True","More True"
"2023/09/26 9:18:36 am CET","Male","21-25","Education","400","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:19:01 am CET","Male","21-25","Education","300","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:19:27 am CET","Male","26-30","Education","300","Hardly ever","More True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/26 9:19:56 am CET","Male","26-30","Education","400","Once or twice a month","More True","True","More True","True","True","More True","More True","True","True","More True","More True","More True","True","True","True","True","More True","More True","More True"
"2023/09/26 9:20:26 am CET","Male","26-30","Education","100","Once or twice a month","More True","True","More True","True","More True","True","More True","More True","More True","","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:20:52 am CET","Male","21-25","Education","300","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:21:20 am CET","Male","21-25","Education","300","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:21:47 am CET","Female","21-25","Education","400","Once or twice a month","More True","More True","True","More True","True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:23:04 am CET","Male","21-25","Education","300","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:24:00 am CET","Male","21-25","Education","300","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:24:56 am CET","Male","21-25","Education","300","Several times a week","More True","More True","More True","More True","More True","More True","More False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:25:25 am CET","Male","21-25","Education","300","Several times a week","More True","True","More True","More True","True","More True","True","More True","More True","True","More True","True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:26:02 am CET","Male","21-25","Education","300","Once or twice a month","More True","More True","More True","More True","More True","More True","More False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:26:41 am CET","Male","26-30","Education","200","Several times a week","More True","More True","More True","More True","More True","More True","More False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:28:15 am CET","Male","21-25","Education","300","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:28:43 am CET","Female","21-25","Education","300","Several times a week","More True","More True","More True","More True","More True","More True","More False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:29:14 am CET","Male","21-25","Education","300","Once or twice a month","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/26 9:29:45 am CET","Female","21-25","Education","300","Once or twice a month","More True","More True","More True","More True","More True","More True","True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:30:49 am CET","Male","21-25","Education","300","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:31:58 am CET","Male","26-30","Education","400","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:33:31 am CET","Female","21-25","Education","200","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:33:59 am CET","Female","21-25","Education","300","Several times a week","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/26 9:34:26 am CET","Female","21-25","Education","200","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:35:01 am CET","Female","21-25","Education","400","Once a week","More True","More True","More True","More True","More True","More True","More False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:35:32 am CET","Male","26-30","Education","300","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
